Product_Name,avg_rating,total_reviews,avg_price,brand,category
Davidoff Run Wild Woman Eau De Parfum,5.0,1.0,3320.0,Davidoff,
Issey Miyake L'Eau Super Majeure D'Issey Eau De Toilette,5.0,0.0,3115.0,Issey Miyake,Fragrance > Gifts > Nykaa
Olena Evolve Performance Plant Protein Powder Wild Berry Flavour,5.0,0.0,2499.0,Olena,Health > Wellness > Sports Nutrition > Post Workout
DIOR Diorshow High Intensity Khol Pencil - 099 Black khol,5.0,1.0,2100.0,DIOR,Makeup > Eyes > Kajal
Organice Coral Glitter She Leaves A Little Cosmetic Organizer,5.0,0.0,2650.0,Organice,Makeup > Tools & Brushes > Makeup Pouches
Oxy Whitening Peel Face Wash,5.0,1.0,179.0,OXY,Skin > Cleansers > Face Wash
PRADA L'Homme Intense Eau De Parfum,5.0,0.0,3559.0,PRADA,Fragrance > Men > Perfumes (EDT > EDP)
Plix The Plant Fix Strength Vegan Post Workout Chocolate Flavour Protein Powder,5.0,0.0,2340.0,Plix,Health > Wellness > Weight Management > Weight Gain
Chopard Brilliant Wish Eau De Parfum,5.0,1.0,3150.0,Chopard,Nykaa Luxe > Fragrance > Perfumes (EDP/EDT)
Charlotte Tilbury Hot Lips 2.0 - Patsy Red,5.0,2.0,3450.0,Charlotte Tilbury,Makeup > Lips > Lipstick
Carbamide Forte Novosules Daily Multivitamin with Probiotics Supplement,5.0,0.0,,Carbamide Forte,Health & Wellness > Health Supplements > Multivitamins
Cadiveu Brasil Cacau Eco Keratin,5.0,0.0,7000.0,CADIVEU,Hair > Shop By Hair Type > Straight
Burberry My Burberry Eau De Toilette,5.0,1.0,3680.0,Burberry,Fragrance > Women > Perfumes (EDT & EDP)
Burberry Brit Rhythm Men Eau De Toilette,5.0,0.0,2960.0,Burberry,Nykaa Luxe > Fragrance > Perfumes (EDP/EDT)
Burberry Brit For Her Eau De Parfum,5.0,2.0,3400.0,Burberry,
Ralph Lauren Polo Red Intense Eau De Parfum,5.0,1.0,4900.0,Ralph Lauren,
